category,top_keys
娛樂,"[('網友', 44), ('台灣', 43), ('中國', 32), ('金城武', 28), ('故事', 23), ('觀眾', 21), ('劇情', 21), ('李珠珢', 18), ('節目', 18), ('金賽綸', 18)]"
國際,"[('美國', 642), ('關稅', 579), ('中國', 438), ('川普', 317), ('產品', 232), ('國家', 207), ('總統', 145), ('貿易', 121), ('電子', 114), ('政府', 108)]"
政治,"[('中國', 237), ('美國', 205), ('台灣', 189), ('關稅', 180), ('民進黨', 137), ('政府', 93), ('國民黨', 88), ('立委', 83), ('國家', 65), ('總統', 56)]"
社會地方,"[('警方', 179), ('男子', 127), ('民眾', 111), ('台北市', 107), ('現場', 91), ('人員', 90), ('檢察官', 73), ('員警', 72), ('記者', 71), ('李孝亮', 69)]"
財經,"[('美國', 351), ('市場', 313), ('關稅', 312), ('川普', 144), ('台股', 134), ('政策', 126), ('中國', 120), ('全球', 109), ('公司', 104), ('投資人', 102)]"
運動,"[('比賽', 99), ('球隊', 81), ('勇士', 78), ('台灣', 72), ('世界', 69), ('球員', 69), ('安打', 69), ('主場', 60), ('投手', 59), ('生涯', 57)]"
玩樂,"[('郵輪', 55), ('斯咪媽線', 40), ('日本', 36), ('餐廳', 35), ('時間', 32), ('活動', 30), ('行程', 25), ('小時', 25), ('機場', 23), ('行李', 19)]"
品味,"[('水果', 21), ('愛情', 19), ('整體運', 17), ('條紋', 16), ('技巧', 12), ('醫師', 12), ('器官', 12), ('肌膚', 12), ('秘笈', 12), ('生活', 11)]"
健康,"[('脂肪', 35), ('醫師', 24), ('大蒜', 19), ('身體', 17), ('患者', 16), ('細胞', 16), ('生活', 15), ('飲食', 15), ('效果', 14), ('蛋白質', 14)]"
遊戲3C,"[('網站', 39), ('官方', 37), ('程式', 37), ('應用', 28), ('網路', 22), ('遊戲', 19), ('用戶', 19), ('資安', 17), ('蘋果', 17), ('台灣', 16)]"
全部,"[('美國', 1248), ('關稅', 1085), ('中國', 858), ('台灣', 524), ('川普', 510), ('市場', 429), ('國家', 402), ('產品', 340), ('政府', 279), ('公司', 277)]"
